r.nm	G.of.r	g.of.r
0.777	513.458	1.8917
0.778	437.734	1.75922
0.779	362.848	1.62853
0.78	289.498	1.50083
0.781	218.313	1.37719
0.782	149.845	1.25857
0.783	84.5695	1.14574
0.784	22.8767	1.03937
0.785	-34.9226	0.939969
0.786	-88.5977	0.847898
0.787	-137.994	0.763397
0.788	-183.028	0.68658
0.789	-223.682	0.617448
0.79	-259.999	0.555901
0.791	-292.072	0.501748
0.792	-320.041	0.454724
0.793	-344.087	0.414495
0.794	-364.419	0.380679
0.795	-381.269	0.352858
0.796	-394.901	0.330561
0.797	-405.584	0.313314
0.798	-413.596	0.300626
0.799	-419.224	0.291997
0.8	-422.754	0.286928
0.801	-424.471	0.284926
0.802	-424.653	0.285511
0.803	-423.574	0.288214
0.804	-421.496	0.292587
0.805	-418.668	0.298206
0.806	-415.329	0.304668
0.807	-411.698	0.3116
0.808	-407.98	0.318662
0.809	-404.36	0.325541
0.81	-401.005	0.331964
0.811	-398.058	0.337691
0.812	-395.641	0.342522
0.813	-393.854	0.346297
0.814	-392.77	0.348897
0.815	-392.44	0.350243
0.816	-392.887	0.3503
0.817	-394.109	0.349076
0.818	-396.082	0.346618
0.819	-398.752	0.343016
0.82	-402.043	0.338401
0.821	-405.856	0.33294
0.822	-410.069	0.326836
0.823	-414.537	0.320328
0.824	-419.099	0.313683
0.825	-423.573	0.307197
0.826	-427.763	0.30119
0.827	-431.461	0.296002
0.828	-434.446	0.291988
0.829	-436.489	0.289516
0.83	-437.357	0.28896
0.831	-436.814	0.290697
0.832	-434.626	0.2951
0.833	-430.56	0.302532
0.834	-424.402	0.313332
0.835	-415.927	0.327851
0.836	-404.949	0.346373
0.837	-391.296	0.369166
0.838	-374.818	0.396451
0.839	-355.398	0.428404
0.84	-332.953	0.465142
0.841	-307.436	0.50672
0.842	-278.842	0.55313
0.843	-247.222	0.604273
0.844	-212.671	0.659982
0.845	-175.337	0.720004
0.846	-135.424	0.783997
0.847	-93.1928	0.851531
0.848	-48.9604	0.922092
0.849	-3.09711	0.995078
0.85	43.9749	1.06981
0.851	91.7867	1.14554
0.852	139.828	1.22146
0.853	187.556	1.2967
0.854	234.401	1.37037
0.855	279.778	1.44155
0.856	323.101	1.50933
0.857	363.786	1.5728
0.858	401.273	1.63109
0.859	435.03	1.68338
0.86	464.569	1.72893
0.861	489.458	1.76709
0.862	509.329	1.79731
0.863	523.886	1.81915
0.864	532.919	1.83231
0.865	536.302	1.83662
0.866	534.001	1.83207
0.867	526.077	1.81878
0.868	512.681	1.79701
0.869	494.054	1.76717
0.87	470.525	1.72979
0.871	442.497	1.68553
0.872	410.446	1.63515
0.873	374.908	1.57949
0.874	336.468	1.51948
0.875	295.747	1.45609
0.876	253.394	1.39033
0.877	210.066	1.32322
0.878	166.425	1.25578
0.879	123.119	1.189
0.88	80.7718	1.12385
0.881	39.9752	1.06123
0.882	1.27764	1.00195
0.883	-34.8237	0.946783
0.884	-67.8893	0.89637
0.885	-97.5436	0.851273
0.886	-123.476	0.811946
0.887	-145.454	0.778722
0.888	-163.311	0.751837
0.889	-176.956	0.731405
